"You have read all pages!";"You have read all pages!"
"From who you follow";"From who you follow"
"No stories with seleceted filters!!";"No stories with seleceted filters!!"
"Add a story";"Add a story"
"You must login to add a story!";"You must login to add a story!"

#AdvancedDateFormat

"Seconds ago";"Seconds ago"
"Less than a minute ago";"Less than a minute ago"
"A few minutes ago";"A few minutes ago"
"Ten minutes ago";"Ten minutes ago"
"Twenty minutes ago";"Twenty minutes ago"
"A half hour ago";"A half hour ago"
"A hour ago";"A hour ago"
"Today";"Today"
"Yesterday";"Yesterday"
"One week ago";"One week ago"
"Two weeks ago";"Two weeks ago"
"Three weeks ago";"Three weeks ago"
"A month ago";"A month ago"

#giorni

"Monday";"Monday"
"Tuesday";"Tuesday"
"Wednesday";"Wednesday"
"Thursday";"Thursday"
"Friday";"Friday"
"Saturday";"Saturday"
"Sunday";"Sunday"

#books
"Page title";"Page title"
"Page Body";"Page body"
"PAGE_TAGS";"Page tags (separate with a semicolon or space, like: horror, adventure monsters)"
"Font of first char.";"Font of first char."
"Page background";"Page background"
"Add!";"Add!"
"Story title";"Story title"
"Story language";"Story language"
"Story book cover";"Story book cover"
"Save!";"Save!"
"Vote!";"Vote!"
"Short comment";"Short comment"

#gruppi
"Create a group";"Create a group"
"open";"Open"
"readonly";"Read only"
"GROUPS_INFO";"This group has %s stories.<br/>%s readers."
"manage";"Manage"
"Leave this group";"Leave this group"
"JoinGroup";"Join"
"Login to Join";"Login to Join"
"No groups";"No groups"
"Your group";"Your group"

"DISCLAIMER";"Disclaimer

PRIVACY
Informativa Privacy (art.13 D.Lgs. 196/2003): i dati che i partecipanti a storycrossing.com conferiscono all’atto della loro iscrizione sono limitati all’ indirizzo e-mail e sono obbligatori al fine di ricevere esclusivamente  la notifica di pubblicazione di un post e/o per l’invio delle news del sito. Le opinioni ed i commenti postati dagli utenti e le informazioni e i dati in esso contenuti non saranno destinati ad altro scopo che alla loro pubblicazione su storycrossing.com, in particolare, non ne è prevista l’aggregazione o selezione in specifiche banche dati. Eventuali trattamenti a fini statistici che in futuro possa essere intenzione del sito eseguire saranno condotti esclusivamente su base anonima. In ogni caso, l’utente ha in ogni momento la possibilità di esercitare i diritti di cui all’ art. 7 del D.Lgs. 196/2003. Per far valere tali diritti, l'Utente può rivolgersi direttamente al Titolare del Trattamento dei Dati personali all'indirizzo info@storycrossing.com

PRIVACY GOOGLE ADSENSE
Per pubblicare gli annunci sul nostro sito web utilizziamo aziende pubblicitarie indipendenti. Le aziende possono utilizzare questi dati (che non includono il tuo nome, indirizzo, indirizzo email o numero di telefono) sulle tue visite a questo e altri siti web per creare annunci pubblicitari su prodotti e servizi che potrebbero interessarti. Se desideri ulteriori informazioni a questo proposito e per conoscere le opzioni disponibili per impedire l'utilizzo di tali dati da parte di queste aziende, visita il sito: http://www.google.com/privacy_ads.html

PRIVACY GOOGLE ANALYTICS
Questo sito web utilizza Google Analytics, un servizio di analisi web fornito da Google, Inc. (‘Google’). Google Analytics utilizza dei ‘cookies’, che sono file di testo che vengono depositati sul Vostro computer per consentire al sito web di analizzare come gli utenti utilizzano il sito. Le informazioni generate dal cookie sull'utilizzo del sito web da parte Vostra (compreso il Vostro indirizzo IP) verranno trasmesse a, e depositate presso i server di Google negli Stati Uniti. Google utilizzerà queste informazioni allo scopo di tracciare e esaminare il Vostro utilizzo del sito web, compilare report sulle attività del sito web per gli operatori del sito web e fornire altri servizi relativi alle attività del sito web e all'utilizzo di Internet. Google può anche trasferire queste informazioni a terzi ove ciò sia imposto dalla legge o laddove tali terzi trattino le suddette informazioni per conto di Google. Google non assocerà il vostro indirizzo IP a nessun altro dato posseduto da Google. Potete rifiutarvi di usare i cookies selezionando l'impostazione appropriata sul vostro browser, ma ciò potrebbe impedirvi di utilizzare tutte le funzionalità di questo sito web. Utilizzando il presente sito web, voi acconsentite al trattamento dei Vostri dati da parte di Google per le modalità e i fini sopraindicati.

ISCRIZIONE AL SITO
L’iscrizione al sito implica l’accettazione totale ed automatica del presente documento.

CONTENUTI DEL SITO WEB
storycrossing.com non rappresenta una testata giornalistica in quanto viene aggiornato senza alcuna periodicità . Non può pertanto considerarsi un prodotto editoriale ai sensi della legge n° 62 del 7.03.2001.
L'autore non è responsabile per quanto pubblicato dai lettori nei commenti ad ogni post.Verranno cancellati i commenti ritenuti offensivi o lesivi dell’immagine o dell’onorabilità di terzi, di genere spam, razzisti o che contengano dati personali non conformi al rispetto delle norme sulla Privacy.
Alcuni testi o immagini inserite in questo blog sono tratte da internet e, pertanto, considerate di pubblico dominio; qualora la loro pubblicazione violasse eventuali diritti d'autore, vogliate comunicarlo via email. Saranno immediatamente rimossi.L'autore del sito Web non è responsabile dei siti collegati tramite link né del loro contenuto che può essere soggetto a variazioni nel tempo.

CONDIZIONI GENERALI DI UTILIZZO DEL SITO WEB
Il sito storycrossing.com ha per obiettivo la condivisione di testi e/o racconti fra i vari utenti. Il sito può proporre links di accesso a siti di altri enti o di società: storycrossing.com non può ritenersi responsabile circa la loro disponibilità, il loro contenuto, i prodotti ed i servizi offerti, nè, tanto meno, di eventuali danni o perdite occorsi in conseguenza del loro utilizzo. Non è, peraltro, responsabile delle modalità e delle finalità di raccolta e di trattamento dei dati personali da parte di tali soggetti terzi.
storycrossing.com non si assume nessuna responsabilità per danni di qualsiasi tipo derivanti dall'accesso e/o dall'impossibilità di accedere a questo sito, o dall'utilizzo del medesimo. storycrossing.com si riserva, a propria discrezione, ed in qualisiasi momento, il diritto di:
• modificare queste condizioni di utilizzo;
• controllare ed eliminare il materiale inviato al sito;
• interrompere la disponibilità del sito in qualsiasi momento e senza preavviso.
L'utente e storycrossing.com concordano che le leggi ed i regolamenti dello Stato italiano e della Comunità Europea, troveranno applicazione per tutte le questioni relative all'utilizzo del presente sito Web. L'utente e storycrossing.com concordano inoltre di assoggettarsi esclusivamente alla competenza del Foro di Bologna per le questioni di cui sopra. Utilizzando questo sito, l'utente implicitamente accetta i termini e le condizioni qui riportate.

NOTA LEGALE
storycrossing.com mette a disposizione questo sito e i suoi contenuti così come sono e non fornisce alcuna dichiarazione né di garanzia nè di alcun genere in merito.
storycrossing.com disconosce qualsiasi dichiarazione e garanzia del genere, per esempio, le garanzie di commerciabilità e idoneità per un particolare scopo, inoltre, benché le informazioni fornite siano ritenute accurate, storycrossing.com non dichiara o garantisce che le informazioni rese accessibili attraverso questo sito non contengano errori, né che il sito sia completo o aggiornato.
Laddove non indicato specificatamente su questo sito, né storycrossing.com né alcuno dei suoi amministratori, dipendenti o altri rappresentanti saranno ritenuti responsabili per danni derivanti o collegati all'utilizzo di questo sito. tale limitazione di responsabilità si applica a tutti i danni di qualsiasi genere, compresi (illimitatamente) danni risarcitori, diretti o indiretti, perdita di dati, ricavi o profitti, perdita o danneggiamento della proprietà e ricorsi di terze parti.
storycrossing.com raccoglie informazioni che le consentono di contattare un utente Internet tramite l'e-mail.
Gli utenti del sito storycrossing.com possono generare dati attraverso interazioni esplicite, per esempio le query o altre transazioni quali post, chat, messaggi e /commenti.
È possibile la raccolta di informazioni riguardanti i gusti e le preferenze personali degli utenti, per esempio il colore preferito, il genere musicale, lo sport, i gusti letterari a discrezione dell’utente e solo a scopo esemplificativo e non esaustivo.
storycrossing.com utilizza queste informazioni a scopo di semplificare l’interazione tra utenti, di integrazione e supporto dell'attività corrente nel sito Web e di personalizzazione del sito Web  .
Le suddette informazioni possono essere distribuite all'interno dell'azienda e ai suoi partner. Inoltre, queste informazioni possono essere utilizzate in modo tale da consentire l'identificazione personale di un utente ai fini legali e giuridici.

COPYRIGHT
I contenuti presenti sul sito ‘storycrossing.com’ dei quali è autore il proprietario del sito non possono essere copiati, riprodotti, pubblicati o redistribuiti perché appartenenti all'autore stesso.
E’ vietata la copia e la riproduzione dei contenuti in qualsiasi modo o forma.
E’ vietata la pubblicazione e la redistribuzione dei contenuti non autorizzata espressamente dall’autore. Il presente documento può subire cambiamenti che verranno comunicati agli utenti.
Copyright © 2012 storycrossing.com by Brugnara Daniele, Luca Zanin, Alessandro Roat, Nicola Angeli. All rights reserved"
